,ALP,Lib,Nat,Green,FamilyFirst,Dems,OneNation,DK,sampleSize,org,startDate,endDate,source,remark
0,39.5,44.5,0.0,8.5,2.0,2.0,1.0,0,1450.5428571428602,"Morgan, F2F",2004-10-30,2004-11-07,,
1,39.0,44.0,0.0,8.5,1.5,2.0,1.0,0,2090.0,"Morgan, F2F",2004-11-13,2004-11-21,http://www.roymorgan.com/news/polls/2004/3808/,face-to-face
2,38.0,46.0,0.0,6.0,0.0,0.0,0.0,0,1150.0,Newspoll,2004-11-19,2004-11-21,,
3,36.0,46.5,0.0,9.0,2.5,1.5,1.0,0,1450.5428571428602,"Morgan, F2F",2004-11-27,2004-12-05,http://www.roymorgan.com/news/polls/2004/3813/,face-to-face
4,33.0,47.0,0.0,8.0,0.0,0.0,0.0,0,1130.0,Newspoll,2004-12-03,2004-12-05,,
5,36.5,45.5,0.0,9.5,2.0,1.5,1.5,0,2136.0,"Morgan, F2F",2004-12-11,2004-12-19,http://www.roymorgan.com/news/polls/2004/3818/,face-to-face
6,39.0,46.0,0.0,6.0,0.0,0.0,0.0,0,1132.0,Newspoll,2004-12-17,2004-12-19,,
7,37.0,47.0,0.0,7.5,2.0,1.5,1.0,0,2010.0,"Morgan, F2F",2005-01-08,2005-01-16,http://www.roymorgan.com/news/polls/2005/3829/,face-to-face
8,34.0,52.0,0.0,8.0,0.0,2.0,1.0,0,1413.0,Nielsen,2005-01-21,2005-01-21,,
9,37.0,46.0,0.0,7.0,0.0,0.0,0.0,0,1141.0,Newspoll,2005-01-21,2005-01-23,,
10,38.0,45.0,0.0,8.0,2.0,2.0,1.5,0,2152.0,"Morgan, F2F",2005-01-22,2005-01-30,http://www.roymorgan.com/news/polls/2005/3831/,face-to-face
11,37.0,48.0,0.0,6.0,0.0,0.0,0.0,0,1141.0,Newspoll,2005-02-04,2005-02-06,,
12,37.5,45.0,0.0,9.0,2.0,2.0,1.0,0,2102.0,"Morgan, F2F",2005-02-05,2005-02-13,http://www.roymorgan.com/news/polls/2005/3836/,face-to-face
13,36.0,47.0,0.0,9.0,0.0,1.0,1.0,0,1407.0,Nielsen,2005-02-11,2005-02-13,,
14,38.0,47.0,0.0,6.0,0.0,0.0,0.0,0,1148.0,Newspoll,2005-02-18,2005-02-20,,
15,38.5,46.0,0.0,7.5,1.0,2.0,0.5,0,2005.0,"Morgan, F2F",2005-02-19,2005-02-27,http://www.roymorgan.com/news/polls/2005/3841/,face-to-face
16,43.0,42.0,0.0,7.0,2.5,1.5,1.0,0,1015.0,"Morgan, F2F",2005-03-05,2005-03-06,http://www.roymorgan.com/news/polls/2005/3843/,face-to-face
17,37.0,45.0,0.0,5.0,0.0,0.0,0.0,0,1129.0,Newspoll,2005-03-04,2005-03-06,,
18,37.0,44.5,0.0,10.0,2.5,1.0,1.0,0,989.0,"Morgan, F2F",2005-03-12,2005-03-13,http://www.roymorgan.com/news/polls/2005/3844/,face-to-face
19,39.0,41.0,0.0,11.0,0.0,1.0,2.0,0,1415.0,Nielsen,2005-03-11,2005-03-13,,
20,36.0,47.0,0.0,6.0,0.0,0.0,0.0,0,1156.0,Newspoll,2005-03-18,2005-03-20,http://www.newspoll.com.au/cgi-bin/polling/display_poll_data.pl,
21,39.0,44.0,0.0,8.0,2.0,1.5,1.0,0,1891.0,"Morgan, F2F",2005-03-19,2005-03-27,http://www.roymorgan.com/news/polls/2005/3848/,face-to-face
22,41.0,43.0,0.0,5.0,0.0,0.0,0.0,0,1145.0,Newspoll,2005-04-01,2005-04-03,,
23,43.0,40.5,0.0,8.0,2.0,1.5,1.5,0,2006.0,"Morgan, F2F",2005-04-02,2005-04-10,http://www.roymorgan.com/news/polls/2005/3852/,
24,39.0,43.0,0.0,10.0,0.0,2.0,2.0,0,1384.0,Nielsen,2005-04-08,2005-04-10,,
25,39.0,45.0,0.0,5.0,0.0,0.0,0.0,0,1155.0,Newspoll,2005-04-15,2005-04-17,,
26,40.0,42.0,0.0,8.5,1.5,2.0,1.0,0,1984.0,"Morgan, F2F",2005-04-16,2005-04-24,http://www.roymorgan.com/news/polls/2005/3859/,face-to-face
27,38.0,46.0,0.0,6.0,0.0,0.0,0.0,0,1154.0,Newspoll,2005-04-29,2005-05-01,,
28,42.5,42.0,0.0,8.0,1.5,1.5,1.0,0,1795.0,"Morgan, F2F",2005-04-30,2005-05-08,http://www.roymorgan.com/news/polls/2005/3861/,face-to-face
29,39.0,43.0,0.0,10.0,0.0,2.0,1.0,0,1409.0,Nielsen,2005-05-06,2005-05-08,,
30,41.0,43.0,0.0,8.0,2.0,1.5,0.5,0,1007.0,"Morgan, F2F",2005-05-14,2005-05-15,http://www.roymorgan.com/news/polls/2005/3862/,face-to-face
31,40.0,45.0,0.0,6.0,0.0,0.0,0.0,0,1130.0,Newspoll,2005-05-13,2005-05-15,,
32,39.0,45.0,0.0,7.5,1.5,1.5,0.5,0,1887.0,"Morgan, F2F",2005-05-21,2005-05-29,http://www.roymorgan.com/news/polls/2005/3865/,face-to-face
33,37.0,47.0,0.0,5.0,0.0,0.0,0.0,0,1122.0,Newspoll,2005-05-27,2005-05-29,,
34,38.0,44.0,0.0,9.0,0.0,2.0,2.0,0,1401.0,Nielsen,2005-06-03,2005-06-05,,
35,39.5,43.5,0.0,7.5,2.0,1.5,1.5,0,1883.0,"Morgan, F2F",2005-06-04,2005-06-12,http://www.roymorgan.com/news/polls/2005/3868/,face-to-face
36,37.0,44.0,0.0,7.0,0.0,0.0,0.0,0,1156.0,Newspoll,2005-06-17,2005-06-19,,
37,39.5,42.0,0.0,9.0,2.5,2.0,1.0,0,1789.0,"Morgan, F2F",2005-06-18,2005-06-26,http://www.roymorgan.com/news/polls/2005/3875/,face-to-face
38,39.0,44.0,0.0,6.0,0.0,0.0,0.0,0,1147.0,Newspoll,2005-07-01,2005-07-03,,
39,41.0,40.0,0.0,10.0,0.0,2.0,1.0,0,1416.0,Nielsen,2005-07-01,2005-07-03,,
40,40.5,42.5,0.0,7.5,2.5,1.5,1.0,0,2049.0,"Morgan, F2F",2005-07-02,2005-07-10,http://www.roymorgan.com/news/polls/2005/3876/,face-to-face
41,39.0,45.0,0.0,5.0,0.0,0.0,0.0,0,1140.0,Newspoll,2005-07-15,2005-07-17,,
42,38.5,41.5,0.0,8.0,1.5,2.5,2.0,0,1847.0,"Morgan, F2F",2005-07-16,2005-07-24,http://www.roymorgan.com/news/polls/2005/3880/,face-to-face
43,41.0,42.0,0.0,7.0,0.0,0.0,0.0,0,1149.0,Newspoll,2005-07-29,2005-07-31,,
44,38.0,43.0,0.0,11.0,0.0,3.0,1.0,0,1428.0,Nielsen,2005-07-29,2005-07-31,,
45,42.0,41.5,0.0,7.5,2.0,2.0,1.0,0,1814.0,"Morgan, F2F",2005-07-30,2005-08-07,http://www.roymorgan.com/news/polls/2005/3885/,face-to-face
46,37.0,45.0,0.0,7.0,0.0,0.0,0.0,0,1147.0,Newspoll,2005-08-12,2005-08-14,,
47,41.5,39.0,0.0,8.0,3.0,2.0,1.5,0,1880.0,"Morgan, F2F",2005-08-13,2005-08-21,http://www.roymorgan.com/news/polls/2005/3887/,face-to-face
48,40.0,42.0,0.0,6.0,0.0,0.0,0.0,0,1147.0,Newspoll,2005-08-26,2005-08-28,,
49,36.0,44.0,0.0,10.0,0.0,3.0,1.0,0,1360.0,Nielsen,2005-08-26,2005-08-28,,
50,37.0,44.0,0.0,8.5,3.0,1.5,1.0,0,1905.0,"Morgan, F2F",2005-08-27,2005-09-04,http://www.roymorgan.com/news/polls/2005/3896/,face-to-face
51,41.5,39.5,0.0,7.0,3.0,1.5,0.5,0,1450.5428571428602,"Morgan, F2F",2005-09-10,2005-09-11,http://www.roymorgan.com/news/polls/2005/3899/,face-to-face
52,39.0,41.0,0.0,7.0,0.0,0.0,0.0,0,1148.0,Newspoll,2005-09-09,2005-09-11,,
53,34.5,44.0,0.0,10.0,2.0,2.5,1.5,0,1018.0,"Morgan, F2F",2005-09-17,2005-09-18,http://www.roymorgan.com/news/polls/2005/3899/,face-to-face
54,35.0,43.0,0.0,10.0,0.0,3.0,1.0,0,1418.0,Nielsen,2005-09-22,2005-09-25,,
55,34.0,44.0,0.0,8.0,0.0,0.0,0.0,0,1155.0,Newspoll,2005-09-23,2005-09-25,,
56,38.5,42.0,0.0,9.0,2.0,2.5,1.5,0,1586.0,"Morgan, F2F",2005-09-24,2005-10-02,http://www.roymorgan.com/news/polls/2005/3907/,face-to-face
57,37.0,43.0,0.0,7.0,0.0,0.0,0.0,0,1152.0,Newspoll,2005-10-07,2005-10-09,,
58,41.5,39.5,0.0,9.0,2.0,2.0,1.5,0,1772.0,"Morgan, F2F",2005-10-08,2005-10-16,http://www.roymorgan.com/news/polls/2005/3914/,face-to-face
59,36.0,43.0,0.0,10.0,0.0,3.0,1.0,0,1409.0,Nielsen,2005-10-20,2005-10-23,,
60,40.0,37.0,0.0,9.0,0.0,0.0,0.0,0,1143.0,Newspoll,2005-10-21,2005-10-23,,
61,41.0,39.0,0.0,9.5,2.0,2.5,1.0,0,1917.0,"Morgan, F2F",2005-10-22,2005-10-30,http://www.roymorgan.com/news/polls/2005/3924/,face-to-face
62,43.0,38.5,0.0,9.5,2.0,1.5,1.0,0,866.0,"Morgan, F2F",2005-11-05,2005-11-06,http://www.roymorgan.com/news/polls/2005/3933/,face-to-face
63,39.0,41.0,0.0,8.0,0.0,0.0,0.0,0,1159.0,Newspoll,2005-11-04,2005-11-06,,
64,38.0,43.5,0.0,9.0,2.0,1.5,0.0,0,966.0,"Morgan, F2F",2005-11-12,2005-11-13,http://www.roymorgan.com/news/polls/2005/3933/,face-to-face
65,43.0,37.0,0.0,10.0,0.0,2.0,1.0,0,1413.0,Nielsen,2005-11-17,2005-11-20,,
66,42.0,39.0,0.0,7.0,0.0,0.0,0.0,0,1164.0,Newspoll,2005-11-18,2005-11-20,,
67,45.5,35.5,0.0,9.0,2.0,2.0,1.5,0,1990.0,"Morgan, F2F",2005-11-19,2005-11-27,http://www.roymorgan.com/news/polls/2005/3941/,
68,42.0,38.0,0.0,6.0,0.0,0.0,0.0,0,1149.0,Newspoll,2005-12-02,2005-12-04,,
69,42.0,38.5,0.0,10.0,2.5,2.0,1.0,0,1984.0,"Morgan, F2F",2005-12-03,2005-12-11,http://www.roymorgan.com/news/polls/2005/3951/,face-to-face
70,39.5,39.5,0.0,10.5,3.0,1.5,1.5,0,887.0,"Morgan, F2F",2005-12-17,2005-12-18,http://www.roymorgan.com/news/polls/2005/3962/,face-to-face
71,39.0,41.0,0.0,7.0,0.0,0.0,0.0,0,1155.0,Newspoll,2005-12-16,2005-12-18,,
72,39.0,39.0,0.0,10.0,0.0,3.0,2.0,0,1423.0,Nielsen,2005-12-16,2005-12-18,,
73,43.0,39.0,0.0,8.0,3.0,2.0,1.0,0,1904.0,"Morgan, F2F",2006-01-07,2006-01-15,http://www.roymorgan.com/news/polls/2006/3964/,face-to-face
74,37.0,45.0,0.0,7.0,0.0,0.0,0.0,0,1150.0,Newspoll,2006-01-13,2006-01-15,,
75,38.0,42.0,0.0,8.5,2.5,2.0,1.0,0,1943.0,"Morgan, F2F",2006-01-21,2006-01-29,http://www.roymorgan.com/news/polls/2006/3969/,face-to-face
76,36.0,43.0,0.0,11.0,0.0,2.0,1.0,0,1325.0,Nielsen,2006-01-26,2006-01-29,http://au.acnielsen.com/news/documents/ACNielsenPoll2006.pdf,
77,36.0,44.0,0.0,7.0,0.0,0.0,0.0,0,1148.0,Newspoll,2006-01-27,2006-01-29,,
78,42.0,40.5,0.0,8.0,2.0,1.5,1.0,0,1033.0,"Morgan, F2F",2006-02-04,2006-02-05,http://www.roymorgan.com/news/polls/2006/3975/,face-to-face
79,39.0,41.0,0.0,5.0,0.0,0.0,0.0,0,1139.0,Newspoll,2006-02-10,2006-02-12,,
80,40.5,40.0,0.0,8.0,2.0,2.5,1.0,0,2056.0,"Morgan, F2F",2006-02-11,2006-02-19,http://www.roymorgan.com/news/polls/2006/3981/,face-to-face
81,40.0,42.0,0.0,10.0,0.0,2.0,1.0,0,1399.0,Nielsen,2006-02-23,2006-02-26,http://www.smh.com.au/news/national/voters-dont-believe-coalition-on-awb/2006/02/27/1141020023624.html,
82,39.0,41.0,0.0,7.0,0.0,0.0,0.0,0,1164.0,Newspoll,2006-02-24,2006-02-26,,
83,39.5,43.0,0.0,8.0,2.0,1.5,1.0,0,1988.0,"Morgan, F2F",2006-02-25,2006-03-05,http://www.roymorgan.com/news/polls/2006/3993/,face-to-face
84,35.0,45.0,0.0,6.0,0.0,0.0,0.0,0,1143.0,Newspoll,2006-03-10,2006-03-12,,
85,38.5,44.0,0.0,8.5,2.5,1.5,1.0,0,2044.0,"Morgan, F2F",2006-03-11,2006-03-19,http://www.roymorgan.com/news/polls/2006/3997/,face-to-face
86,37.0,43.0,0.0,8.0,0.0,2.0,1.0,0,1442.0,Nielsen,2006-03-23,2006-03-26,,
87,42.0,41.0,0.0,4.0,0.0,0.0,0.0,0,1140.0,Newspoll,2006-03-24,2006-03-26,,
88,43.5,39.0,0.0,8.0,2.0,1.5,1.0,0,2083.0,"Morgan, F2F",2006-03-25,2006-04-02,http://www.roymorgan.com/news/polls/2006/4004/,face-to-face
89,39.0,41.0,0.0,7.0,0.0,0.0,0.0,0,1144.0,Newspoll,2006-04-07,2006-04-09,,
90,42.0,38.5,0.0,9.5,2.5,1.5,0.5,0,1830.0,"Morgan, F2F",2006-04-08,2006-04-16,http://www.roymorgan.com/news/polls/2006/4017/,face-to-face
91,38.0,43.0,0.0,10.0,0.0,2.0,1.0,0,1189.0,Nielsen,2006-04-20,2006-04-23,,
92,39.0,40.0,0.0,8.5,2.5,2.5,1.0,0,1985.0,"Morgan, F2F",2006-04-22,2006-04-30,http://www.roymorgan.com/news/polls/2006/4024/,face-to-face
93,37.0,42.0,0.0,7.0,0.0,0.0,0.0,0,1149.0,Newspoll,2006-04-28,2006-04-30,,
94,42.0,39.0,0.0,9.5,1.5,2.5,1.0,0,1024.0,"Morgan, F2F",2006-05-06,2006-05-07,http://www.roymorgan.com/news/polls/2006/4026/,face-to-face
95,40.5,42.0,0.0,7.0,1.5,2.5,0.5,0,818.0,"Morgan, F2F",2006-05-13,2006-05-14,http://www.roymorgan.com/news/polls/2006/4026/,face-to-face
96,39.0,43.0,0.0,6.0,0.0,0.0,0.0,0,1147.0,Newspoll,2006-05-12,2006-05-14,,
97,40.0,41.0,0.0,11.0,0.0,2.0,1.0,0,1427.0,Nielsen,2006-05-18,2006-05-20,http://au.acnielsen.com/news/documents/ACNielsenPoll2006.pdf,
98,41.0,42.0,0.0,7.5,3.0,1.5,1.0,0,2113.0,"Morgan, F2F",2006-05-20,2006-05-28,http://www.roymorgan.com/news/polls/2006/4030/,face-to-face
99,39.0,40.0,0.0,7.0,0.0,0.0,0.0,0,1147.0,Newspoll,2006-05-26,2006-05-28,,
100,42.0,39.5,0.0,8.0,2.5,2.0,1.5,0,1996.0,"Morgan, F2F",2006-06-03,2006-06-11,http://www.roymorgan.com/news/polls/2006/4034/,face-to-face
101,36.0,41.0,0.0,11.0,0.0,2.0,1.0,0,1425.0,Nielsen,2006-06-15,2006-06-17,http://au.acnielsen.com/news/documents/ACNielsenPoll2006.pdf,
102,38.0,44.0,0.0,7.0,0.0,0.0,0.0,0,1140.0,Newspoll,2006-06-16,2006-06-18,,
103,40.5,42.0,0.0,8.5,1.5,1.5,0.5,0,1450.5428571428602,"Morgan, F2F",2006-06-17,2006-06-25,http://www.roymorgan.com/news/polls/2006/4045/,face-to-face
104,41.0,40.0,0.0,5.0,0.0,0.0,0.0,0,1152.0,Newspoll,2006-06-30,2006-07-02,,
105,42.5,39.0,0.0,8.5,2.5,2.5,1.0,0,1991.0,"Morgan, F2F",2006-07-01,2006-07-09,http://www.roymorgan.com/news/polls/2006/4053/,face-to-face
106,41.0,43.0,0.0,10.0,0.0,2.0,1.0,0,1416.0,Nielsen,2006-07-13,2006-07-15,http://au.acnielsen.com/news/documents/ACNielsenPoll2006.pdf,
107,36.5,45.0,0.0,7.5,2.5,1.5,1.5,0,969.0,"Morgan, F2F",2006-07-15,2006-07-16,http://www.roymorgan.com/news/polls/2006/4056/,face-to-face
108,42.0,42.0,0.0,5.0,0.0,0.0,0.0,0,1154.0,Newspoll,2006-07-14,2006-07-16,,
109,42.0,40.0,0.0,8.0,2.5,2.0,1.0,0,1843.0,"Morgan, F2F",2006-07-22,2006-07-30,http://www.roymorgan.com/news/polls/2006/4062/,face-to-face
110,40.0,43.0,0.0,5.0,0.0,0.0,0.0,0,1154.0,Newspoll,2006-07-28,2006-07-30,,
111,41.0,42.0,0.0,7.0,0.0,0.0,0.0,0,1151.0,Newspoll,2006-08-04,2006-08-06,http://www.newspoll.com.au/cgi-bin/polling/display_poll_data.pl,
112,41.5,40.5,0.0,8.5,3.0,2.0,1.0,0,1882.0,"Morgan, F2F",2006-08-05,2006-08-13,http://www.roymorgan.com/news/polls/2006/4068/,face-to-face
113,41.0,42.0,0.0,9.0,0.0,2.0,1.0,0,1411.0,Nielsen,2006-08-10,2006-08-12,,
114,37.0,44.0,0.0,7.0,0.0,0.0,0.0,0,1154.0,Newspoll,2006-08-11,2006-08-13,,
115,42.5,39.0,0.0,8.0,2.5,2.5,0.5,0,2021.0,"Morgan, F2F",2006-08-19,2006-08-27,http://www.roymorgan.com/news/polls/2006/4076/,face-to-face
116,42.0,44.0,0.0,5.0,0.0,0.0,0.0,0,1142.0,Newspoll,2006-08-25,2006-08-27,,
117,43.0,38.0,0.0,9.0,2.0,2.5,0.5,0,1930.0,"Morgan, F2F",2006-09-02,2006-09-10,http://www.roymorgan.com/news/polls/2006/4085/,face-to-face
118,39.0,42.0,0.0,10.0,0.0,2.0,0.0,0,1415.0,Nielsen,2006-09-07,2006-09-09,,
119,41.0,39.0,0.0,6.0,0.0,0.0,0.0,0,1141.0,Newspoll,2006-09-08,2006-09-10,,
120,41.5,41.5,0.0,8.0,1.0,2.5,1.0,0,1199.0,"Morgan, F2F",2006-09-16,2006-09-24,http://www.roymorgan.com/news/polls/2006/4090/,face-to-face
121,42.0,41.0,0.0,6.0,0.0,0.0,0.0,0,1143.0,Newspoll,2006-09-22,2006-09-24,,
122,42.0,39.0,0.0,9.5,2.0,2.0,1.0,0,2035.0,"Morgan, F2F",2006-09-30,2006-10-08,http://www.roymorgan.com/news/polls/2006/4094/,face-to-face
123,42.0,39.0,0.0,9.0,2.0,2.0,0.0,0,1408.0,Nielsen,2006-10-05,2006-10-07,,
124,41.0,41.0,0.0,6.0,0.0,0.0,0.0,0,1140.0,Newspoll,2006-10-13,2006-10-15,,
125,41.5,40.5,0.0,8.5,2.0,2.0,0.5,0,2055.0,"Morgan, F2F",2006-10-14,2006-10-22,http://www.roymorgan.com/news/polls/2006/4096/,face-to-face
126,41.0,42.0,0.0,7.0,0.0,0.0,0.0,0,1144.0,Newspoll,2006-10-27,2006-10-29,,
127,40.5,41.5,0.0,9.0,2.0,1.5,1.0,0,2039.0,"Morgan, F2F",2006-10-28,2006-11-05,http://www.roymorgan.com/news/polls/2006/4106/,face-to-face
128,40.0,40.0,0.0,11.0,2.0,2.0,0.0,0,1408.0,Nielsen,2006-11-02,2006-11-04,,
129,37.0,41.0,0.0,9.0,0.0,0.0,0.0,0,1152.0,Newspoll,2006-11-10,2006-11-12,,
130,40.5,40.5,0.0,10.0,2.0,2.5,1.0,0,2186.0,"Morgan, F2F",2006-11-11,2006-11-19,http://www.roymorgan.com/news/polls/2006/4112/,face-to-face
131,39.0,41.0,0.0,7.0,0.0,0.0,0.0,0,1156.0,Newspoll,2006-11-24,2006-11-26,,
132,41.0,41.5,0.0,9.0,2.5,1.5,1.0,0,2096.0,"Morgan, F2F",2006-11-25,2006-12-03,http://www.roymorgan.com/news/polls/2006/4116/,face-to-face
133,41.0,39.0,0.0,12.0,2.0,1.0,0.0,0,1414.0,Nielsen,2006-11-30,2006-12-02,http://www.smh.com.au/news/national/alp-to-win-whoever-leads-poll/2006/12/03/1165080806438.html,
134,50.0,34.5,0.0,7.0,2.5,1.5,1.0,0,1065.0,"Morgan, F2F",2006-12-09,2006-12-10,http://www.roymorgan.com/news/polls/2006/4118/,face-to-face
135,46.0,34.0,5.0,5.0,0.0,0.0,0.0,0,1155.0,Newspoll,2006-12-08,2006-12-10,http://newspoll.com.au/image_uploads/1204%20Fed.pdf,
136,49.0,35.5,0.0,7.0,2.0,2.5,1.0,0,924.0,"Morgan, F2F",2006-12-16,2006-12-17,http://www.roymorgan.com/news/polls/2006/4122/,face-to-face
