,mfr,model,year,trim,bdy_style,hp,hp_rpm,trq,trq_rpm,mpg_c,mpg_h,drivetrain,trsmn,ctry_origin,msrp
0,Ford,GT,2017,Base Coupe,coupe,647,6250,550,5900.0,11.0,18.0,rwd,7a,United States,447000
1,Ferrari,458 Speciale,2015,Base Coupe,coupe,597,9000,398,6000.0,13.0,17.0,rwd,7a,Italy,291744
2,Ferrari,458 Spider,2015,Base,convertible,562,9000,398,6000.0,13.0,17.0,rwd,7a,Italy,263553
3,Ferrari,458 Italia,2014,Base Coupe,coupe,562,9000,398,6000.0,13.0,17.0,rwd,7a,Italy,233509
4,Ferrari,488 GTB,2016,Base Coupe,coupe,661,8000,561,3000.0,15.0,22.0,rwd,7a,Italy,245400
5,Ferrari,California,2015,Base Convertible,convertible,553,7500,557,4750.0,16.0,23.0,rwd,7a,Italy,198973
6,Ferrari,GTC4Lusso,2017,Base Coupe,coupe,680,8250,514,5750.0,12.0,17.0,awd,7a,Italy,298000
7,Ferrari,FF,2015,Base Coupe,coupe,652,8000,504,6000.0,11.0,16.0,awd,7a,Italy,295000
8,Ferrari,F12Berlinetta,2015,Base Coupe,coupe,731,8250,509,6000.0,11.0,16.0,rwd,7a,Italy,319995
9,Ferrari,LaFerrari,2015,Base Coupe,coupe,949,9000,664,6750.0,12.0,16.0,rwd,7a,Italy,1416362
10,Acura,NSX,2017,Base Coupe,coupe,573,6500,476,2000.0,21.0,22.0,awd,9a,Japan,156000
11,Nissan,GT-R,2016,Premium Coupe,coupe,545,6400,436,3200.0,16.0,22.0,awd,6a,Japan,101770
12,Lamborghini,Aventador,2015,LP 700-4 Coupe,coupe,700,8250,507,5500.0,11.0,18.0,awd,7a,Italy,397500
13,Lamborghini,Huracan,2015,LP 610-4 Coupe,coupe,610,8250,413,6500.0,16.0,20.0,rwd,7a,Italy,237250
14,Lamborghini,Gallardo,2014,LP 550-2 Coupe,coupe,550,8000,398,6500.0,12.0,20.0,rwd,6a,Italy,191900
15,Bentley,Continental GT,2016,V8 Coupe,coupe,500,6000,487,1700.0,15.0,25.0,awd,8am,United Kingdom,198500
16,Maserati,Granturismo,2016,Sport Coupe,coupe,454,7600,384,4750.0,13.0,21.0,rwd,6am,Italy,132825
17,Maserati,Quattroporte,2016,S Sedan,sedan,404,5500,406,1500.0,16.0,23.0,rwd,8am,Italy,99900
18,Maserati,Ghibli,2016,Base Sedan,sedan,345,5250,369,1750.0,17.0,24.0,rwd,8am,Italy,70600
19,BMW,6-Series,2016,640 I Coupe,coupe,315,5800,330,1400.0,20.0,30.0,rwd,8am,Germany,77300
20,BMW,i8,2016,Mega World Coupe,coupe,357,5800,420,3700.0,28.0,29.0,awd,6am,Germany,140700
21,BMW,M4,2016,Base Coupe,coupe,425,5500,406,1850.0,17.0,24.0,rwd,6m,Germany,65700
22,BMW,M5,2016,Base Sedan,sedan,560,6000,500,1500.0,15.0,22.0,rwd,7am,Germany,94100
23,BMW,M6,2016,Base Coupe,coupe,560,6000,500,1500.0,15.0,22.0,rwd,7a,Germany,113400
24,Aston Martin,DB11,2017,Base Coupe,coupe,608,6500,516,1500.0,15.0,21.0,rwd,8am,United Kingdom,211195
25,Aston Martin,Rapide S,2016,Base Sedan,sedan,552,6650,465,5500.0,14.0,21.0,rwd,8am,United Kingdom,205300
26,Aston Martin,Vanquish,2016,Base Coupe,coupe,568,6650,465,5500.0,13.0,21.0,rwd,8am,United Kingdom,287250
27,Aston Martin,Vantage,2016,V8 GT (Manual) Coupe,coupe,430,7300,361,5000.0,13.0,19.0,rwd,6m,United Kingdom,103300
28,Chevrolet,Corvette,2016,Z06 Coupe,coupe,650,6400,650,3600.0,15.0,22.0,rwd,7m,United States,88345
29,Dodge,Viper,2017,GT Coupe,coupe,645,5000,600,5000.0,12.0,19.0,rwd,6m,United States,95895
30,Audi,R8,2015,4.2 (Manual) Coupe,coupe,430,7900,317,4500.0,11.0,20.0,awd,6m,Germany,115900
31,Audi,RS 7,2016,Quattro Hatchback,hatchback,560,5700,516,1750.0,15.0,25.0,awd,8am,Germany,108900
32,Audi,S6,2016,Premium Plus quattro Sedan,sedan,450,5800,406,1400.0,18.0,27.0,awd,7a,Germany,70900
33,Audi,S7,2016,Prestige quattro Hatchback,hatchback,450,5800,406,1400.0,17.0,27.0,awd,7a,Germany,82900
34,Audi,S8,2016,Base Sedan,sedan,520,5800,481,1700.0,15.0,25.0,awd,8am,Germany,114900
35,Lotus,Evora,2017,2+2 Coupe,coupe,400,7000,302,3500.0,16.0,24.0,rwd,6m,United Kingdom,91900
36,Jaguar,F-Type,2016,Base (Manual) Coupe,coupe,340,6500,332,3500.0,16.0,24.0,rwd,6m,United Kingdom,65000
37,Mercedes-Benz,AMG GT,2016,S Coupe,coupe,503,6250,479,1750.0,16.0,22.0,rwd,7a,Germany,129900
38,Mercedes-Benz,SL-Class,2016,SL400 Convertible,convertible,329,5250,354,1600.0,20.0,27.0,rwd,7am,Germany,85050
39,Tesla,Model S,2017,75D,sedan,259,6100,243,,,,awd,1dd,United States,74500
40,Porsche,718 Boxster,2017,Base Convertible,convertible,300,6500,280,1950.0,21.0,28.0,rwd,6m,Germany,56000
41,Porsche,718 Cayman,2017,Base Coupe,coupe,300,6500,280,1950.0,20.0,29.0,rwd,6m,Germany,53900
42,Porsche,911,2016,Carrera Coupe,coupe,350,7400,287,5600.0,20.0,28.0,rwd,7m,Germany,84300
43,Porsche,Panamera,2016,Base Sedan,sedan,310,6200,295,3750.0,18.0,28.0,rwd,7a,Germany,78100
44,McLaren,570,2016,Base Coupe,coupe,570,7500,443,5000.0,16.0,23.0,rwd,7a,United Kingdom,184900
45,Rolls-Royce,Dawn,2016,Base Convertible,convertible,563,5250,575,1500.0,12.0,19.0,rwd,8a,United Kingdom,335000
46,Rolls-Royce,Wraith,2016,Base Coupe,coupe,624,5600,590,1500.0,13.0,21.0,rwd,8a,United Kingdom,304350
