,year,methodology,method,incidents,incidents.us,suicide,suicide.us,nkill,nkill.us,nwound,nwound.us,pNA.nkill,pNA.nkill.us,pNA.nwound,pNA.nwound.us,worldPopulation,USpopulation,worldDeathRate,USdeathRate,worldDeaths,USdeaths,kill.pmp,kill.pmp.us,pkill,pkill.us
0,1970,PGIS,p,651,468.0,0.0,0.0,171,28,192,132,0.06451599999999999,0.379416,0.079877,0.380952,3682487.691,209485.807,11.966,9.5,44064647.710506,1921030.86,0.0464360004292544,0.133660606419985,3.88066191118623e-06,1.4575507652178e-05
1,1971,PGIS,p,470,247.0,0.0,0.0,173,15,82,48,0.13617,0.682979,0.30851100000000004,0.682979,3757734.668,211357.91199999998,11.731,9.3,44081985.390308,1927542.0,0.0460383755865543,0.0709696640076573,3.9245056334970905e-06,7.78193159993401e-06
2,1972,PGIS,p,494,64.0,0.0,0.0,566,12,222,23,0.09311699999999999,0.880567,0.6680159999999999,0.88664,3833594.894,213219.515,11.635,9.4,44603876.591690004,1963943.93,0.147642099817551,0.0562800267133147,1.26894800015084e-05,6.11015407145559e-06
3,1973,PGIS,p,473,58.0,0.0,0.0,370,73,495,87,0.103594,0.9112049999999999,0.48414399999999996,0.9112049999999999,3909722.12,215092.9,11.392000000000001,9.3,44539554.391040005,1973003.08,0.0946358816927889,0.33938823643179306,8.307222760954089e-06,3.69994353987526e-05
4,1974,PGIS,p,580,94.0,0.0,0.0,542,17,754,63,0.1,0.8413790000000001,0.394828,0.8568969999999999,3985733.775,217001.865,11.285,9.1,44979005.650875,1934387.96,0.13598499814504,0.0783403405311747,1.20500662955286e-05,8.78830945577225e-06
5,1975,PGIS,p,740,149.0,0.0,0.0,617,22,617,18,0.20675700000000002,0.9054049999999999,0.459459,0.9148649999999999,4061399.228,218963.56100000002,11.140999999999998,8.8,45248048.799148,1892879.0,0.151918086689507,0.10047333857527099,1.36359471043449e-05,1.16225073023685e-05
6,1976,PGIS,p,923,105.0,0.0,0.0,672,6,755,31,0.118093,0.9501629999999999,0.328277,0.953413,4136542.07,220993.16600000003,10.984000000000002,8.8,45435778.09688,1909439.97,0.162454530530134,0.0271501608334803,1.47901065668367e-05,3.14228260341696e-06
7,1977,PGIS,p,1319,130.0,0.0,0.0,456,7,518,5,0.09856000000000001,0.898408,0.163002,0.900682,4211322.427,223090.871,10.719000000000001,8.6,45141165.095013,1899596.87,0.108279526895507,0.0313773484707046,1.01016444533545e-05,3.68499238472634e-06
8,1978,PGIS,p,1526,87.0,0.0,0.0,1459,11,1600,28,0.100262,0.95675,0.12778499999999998,0.956094,4286282.447,225239.456,10.467,8.7,44864518.372749,1927787.92,0.340388207739591,0.0488369142571539,3.25201306715956e-05,5.7060218532752294e-06
9,1979,PGIS,p,2661,69.0,0.0,0.0,2100,16,2502,34,0.152198,0.984216,0.173619,0.9834649999999999,4362189.531,227411.604,10.304,8.5,44948000.927424,1913840.99,0.48140961897146,0.070357007815661,4.67206540150873e-05,8.36015117431464e-06
10,1980,PGIS,p,2663,67.0,0.0,0.0,4428,18,3668,11,0.16935799999999998,0.9857299999999999,0.19226400000000002,0.986857,4439632.465,229588.208,10.265999999999998,8.8,45577266.88569,1989841.0,0.997379858559981,0.0784012391437804,9.715369750243341e-05,9.045948897424471e-06
11,1981,PGIS,p,2585,73.0,1.0,0.0,4851,10,3337,14,0.254932,0.970986,0.271954,0.972534,4518602.041999999,231765.783,10.107999999999999,8.6,45674029.440536,1977980.98,1.07356212273406,0.0431470075977523,0.000106209153416508,5.05566034310401e-06
12,1982,PGIS,p,2545,78.0,1.0,0.0,5135,11,3341,7,0.315914,0.9540280000000001,0.34499,0.955206,4599003.374,233953.87399999998,10.024,8.5,46100409.820976004,1974796.89,1.1165462563106998,0.0470178151441938,0.00011138729612038201,5.570193094642759e-06
13,1983,PGIS,p,2870,44.0,5.0,0.0,9443,276,4040,81,0.31324,0.9620209999999999,0.362718,0.9634149999999999,4681210.508,236161.961,10.021,8.6,46910410.500668,2019200.96,2.0172132793136104,1.1686894825538798,0.00020129860086953502,0.000136687732161142
14,1984,PGIS,p,3494,63.0,2.0,0.0,10449,9,5291,798,0.198054,0.9753860000000001,0.20606799999999997,0.975959,4765657.562,238404.223,9.894,8.7,47151415.918428004,2039368.92,2.19256206810102,0.0377510091337602,0.000221605222165052,4.41312992060309e-06
15,1985,PGIS,p,2915,40.0,16.0,0.0,7094,58,5130,41,0.150943,0.967067,0.166724,0.968096,4852540.569,240691.557,9.785,8.7,47482109.467665,2086439.95,1.4619146195952202,0.240972307973395,0.000149403640224345,2.7798547473173103e-05
16,1986,PGIS,p,2860,49.0,3.0,0.0,5003,11,5787,99,0.132168,0.915385,0.151399,0.916434,4942056.118,243032.017,9.645,8.7,47666131.258109994,2105360.94,1.0123316855464302,0.0452615261799025,0.00010495922089646801,5.22475732830875e-06
17,1987,PGIS,p,3184,34.0,3.0,0.0,6478,7,5784,42,0.029523,0.959485,0.045226,0.958857,5033804.944,245425.40899999999,9.51,8.6,47871485.017440006,2123323.02,1.28689928832491,0.0285219041847456,0.00013532064020240902,3.29671930933994e-06
18,1988,PGIS,p,3721,27.0,2.0,0.0,7192,201,6860,22,0.0086,0.9365760000000001,0.013169,0.9365760000000001,5126632.694,247865.202,9.407,8.9,48226233.752458,2167998.82,1.4028701545982099,0.810924641208813,0.00014913045121698798,9.27122275832235e-05
19,1989,PGIS,p,4322,42.0,2.0,0.0,8121,19,5498,29,0.007867,0.9268860000000001,0.007867,0.9266540000000001,5218978.018999999,250340.795,9.279,8.8,48426897.038301,2150466.03,1.556051773055,0.0758965393554814,0.000167696063482595,8.83529418039679e-06
20,1990,PGIS,p,3887,32.0,2.0,0.0,7148,18,6128,46,0.001544,0.9526629999999999,0.005145,0.9539489999999999,5309667.699,252847.81,9.232000000000001,8.6,49018852.197168,2148462.89,1.34622360667622,0.0711890682383209,0.000145821447863542,8.37808280691318e-06
21,1991,PGIS,p,4683,30.0,3.0,0.0,8429,18,7591,23,0.022208000000000002,0.9901770000000001,0.0205,0.9895370000000001,5398328.753,255367.16,9.168,8.6,49491878.007504,2169517.92,1.5614091667380903,0.0704867454374321,0.000170310772986266,8.2967740593726e-06
22,1992,PGIS,p,5073,32.0,2.0,0.0,9745,26,9927,18,0.004534000000000001,0.969249,0.006899,0.970826,5485115.276000001,257908.206,9.081,8.5,49810331.821356,2175612.87,1.7766262894490201,0.10081106143633099,0.000195642141773925,1.1950655541029199e-05
23,1993,PGIS,p,4954,,,,10162,45,12176,1214,,,,,5570045.38,260527.42,9.099,8.8,50681842.91262,2268553.0,1.8244016532590601,0.172726540645894,0.000200505731757233,1.98364331800932e-05
24,1994,PGIS,p,3458,56.0,11.0,0.0,7691,19,7573,69,0.025448,0.958357,0.034413,0.958068,5653315.892999999,263301.32300000003,9.008,8.8,50925069.564144,2278993.86,1.36044051766559,0.0721606704573984,0.000151025812351863,8.33701236913381e-06
25,1995,PGIS,p,3081,60.0,21.0,0.0,6094,188,14288,784,0.001623,0.9824729999999999,0.006816,0.981824,5735123.084,266275.528,8.95,8.8,51329351.6018,2312131.93,1.0625752770679302,0.7060355918250211,0.00011872349464446201,8.131023907446321e-05
26,1996,PGIS,p,3056,35.0,15.0,0.0,6952,36,10781,196,0.019306,0.9875649999999999,0.036322,0.989856,5815392.305,269483.224,8.84,8.8,51408067.9762,2314689.95,1.19544815472256,0.133589020739933,0.000135231691710696,1.55528389450172e-05
27,1997,PGIS,p,3200,40.0,11.0,0.0,10948,14,9329,67,0.020937,0.9475,0.056562,0.944375,5894155.105,272882.865,8.736,8.7,51491338.99728,2314245.09,1.85743330553226,0.0513040641082393,0.000212618281310927,6.04948890698521e-06
28,1998,CETIS,c,933,30.0,21.0,0.0,4678,135,8175,3,0.069668,0.020364,0.154341,0.031083,5971882.825,276354.096,8.651,8.6,51662758.319075,2337255.94,0.7833375397816851,0.488503705767401,9.0548785086312e-05,5.7760041461270204e-05
29,1999,CETIS,c,1396,53.0,27.0,1.0,3388,25,5353,39,0.036532999999999996,0.005014,0.07808,0.006447,6049205.203,279730.80100000004,8.613999999999999,8.6,52107853.618641995,2391399.05,0.560073577652777,0.0893716384131757,6.50189897437632e-05,1.04541314424291e-05
30,2000,CETIS,c,1813,32.0,39.0,0.0,4421,36,5867,50,0.030888,0.004413,0.08880299999999999,0.005516,6126622.121,282895.74100000004,8.544,8.5,52345859.401824,2403351.01,0.721604811376615,0.127255362250222,8.44574919682367e-05,1.4979085389611902e-05
31,2001,CETIS,c,1908,41.0,51.0,4.0,7737,2910,6381,41,0.011006,0.001048,0.0587,0.004193,6204310.739,285796.19800000003,8.472999999999999,8.5,52569124.891546994,2416424.91,1.24703618588373,10.1820808686895,0.00014717764497624498,0.0012042584017229
32,2002,CETIS,c,1332,33.0,76.0,1.0,4798,29,7096,35,0.009009,0.005255,0.064565,0.012763,6282301.767000001,288470.847,8.424,8.5,52922110.085208,2443386.91,0.7637328129003901,0.10053008926756499,9.06615399929238e-05,1.18687711231129e-05
33,2003,CETIS,c,1262,32.0,86.0,0.0,3271,52,7101,68,0.016640000000000002,0.011886,0.08240900000000001,0.030902999999999996,6360764.683999999,291005.482,8.395,8.4,53398619.52218,2448288.03,0.514246346548229,0.178690791811269,6.12562652231363e-05,2.1239331060242897e-05
34,2004,CETIS,c,1161,9.0,119.0,0.0,5713,120,11757,238,0.01292,0.013781,0.102498,0.021533,6439842.408,293530.886,8.266,8.2,53231737.344528005,2397615.02,0.887133510115548,0.40881558201681,0.000107323192610156,5.00497365085743e-05
35,2005,CETIS,c,2011,20.0,215.0,0.0,6311,59,12781,78,0.008951,0.009448,0.072601,0.021381999999999998,6519635.85,296139.635,8.297,8.3,54093418.64745,2448017.99,0.96799884919953,0.199230339430924,0.00011666853672406102,2.41011300738031e-05
36,2006,CETIS,c,2751,6.0,187.0,0.0,9363,20,15552,19,0.030534,0.027263,0.077426,0.042166,6600220.247,298860.519,8.185,8.1,54022802.721695,2426263.95,1.4185890242459398,0.0669208501240674,0.000173315702412454,8.24312622705374e-06
37,2007,CETIS,c,3241,9.0,373.0,0.0,12836,27,22430,86,0.014193,0.010799,0.077445,0.017587000000000002,6681607.32,301655.953,8.128,8.0,54308104.296959996,2423711.99,1.9210946386475198,0.0895059412270243,0.00023635514747139701,1.11399374642694e-05
38,2008,ISVG,i,4787,18.0,242.0,0.0,9093,60,18800,71,0.013369999999999998,0.0039689999999999994,0.036557,0.008565000000000001,6763732.879,304473.143,8.093,8.1,54738890.189747,2471983.84,1.3443759773884498,0.197061715883427,0.00016611589983794,2.42720033315428e-05
39,2009,ISVG,i,4721,10.0,182.0,1.0,9271,29,19128,62,0.004025,0.022877,0.020123,0.023936000000000002,6846479.521000001,307231.961,7.997999999999999,7.9,54758143.208958,2437163.02,1.3541265947796002,0.0943912212310489,0.000169308151385296,1.18990809240163e-05
40,2010,ISVG,i,4821,17.0,175.0,2.0,7720,20,15780,33,0.002282,0.0006219999999999999,0.007675,0.0008300000000000001,6929725.04300001,309876.17,7.949,8.0,55084384.3668071,2468434.89,1.11404131507328,0.0645419104024682,0.000140148611784285,8.1022999962539e-06
41,2011,ISVG,i,5067,10.0,208.0,0.0,8198,23,14617,82,0.006118,0.0031579999999999998,0.020130000000000002,0.002368,7013427.052,312390.368,7.881,8.1,55272818.596812,2515457.86,1.1689007298738798,0.0736258295902388,0.000148318833888324,9.14346464146293e-06
42,2012,START,s,8498,17.0,402.0,0.0,15432,221,25500,164,0.024475999999999998,0.001059,0.041068,0.0036479999999999998,7097500.453,314799.465,7.847,8.1,55694086.054691,2543278.95,2.17428658190182,0.702034229950168,0.00027708507479314704,8.68956981694831e-05
43,2013,START,s,11990,19.0,623.0,0.0,22226,127,37643,204,0.029274,0.000167,0.047873,0.0007509999999999999,7181715.1389999995,317135.919,7.789,8.1,55938379.217671,2596992.98,3.09480389709453,0.400459211307439,0.00039733006767165603,4.89027120897339e-05
44,2014,START,s,16840,26.0,739.0,0.0,43550,78,40989,35,0.061163999999999996,0.0,0.11080799999999999,0.0,7265785.946,319448.63399999996,7.747999999999999,8.1,56295309.50960799,2626416.95,5.99384572070629,0.24417071071275898,0.000773599086306955,2.96982548791425e-05
45,2015,START,s,14806,38.0,906.0,0.0,38422,78,43495,73,0.053897,6.8e-05,0.09955399999999999,6.8e-05,7349472.098999999,321773.631,7.813,8.1,57421425.509487,2665995.98522119,5.2278584750635195,0.24240643882966298,0.00066912306093223,2.9257358387780395e-05
